layer_name,bit_position,auroc,fpr,detection_error,auroc_fi,fpr_fi,detection_error_fi
layer2.1.conv2,18,90.32,39.29,15.84,90.32,39.31,15.84
layer2.1.conv2,19,90.32,39.29,15.84,90.32,39.31,15.84
layer2.1.conv2,20,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,21,90.32,39.29,15.84,90.32,39.31,15.84
layer2.1.conv2,22,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,23,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,24,90.32,39.29,15.84,90.32,39.27,15.84
layer2.1.conv2,25,90.32,39.29,15.84,90.31,39.37,15.84
layer2.1.conv2,26,90.32,39.29,15.84,90.32,39.3,15.82
layer2.1.conv2,27,90.32,39.29,15.84,90.58,38.83,15.59
layer2.1.conv2,28,90.32,39.29,15.84,90.32,39.32,15.83
layer2.1.conv2,29,90.32,39.29,15.84,90.32,39.31,15.84
layer2.1.conv2,30,90.32,39.29,15.84,77.23,46.42,22.32
layer2.2.conv1,0,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,1,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,2,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,3,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,4,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,5,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,6,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,7,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,8,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,9,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,10,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,11,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,12,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,13,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,14,90.32,39.29,15.84,90.32,39.31,15.84
layer2.2.conv1,15,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,16,90.32,39.29,15.84,90.32,39.31,15.84
layer2.2.conv1,17,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,18,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,19,90.32,39.29,15.84,90.32,39.3,15.84
layer2.2.conv1,20,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,21,90.32,39.29,15.84,90.32,39.31,15.84
layer2.2.conv1,22,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,23,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,24,90.32,39.29,15.84,90.32,39.3,15.86
layer2.2.conv1,25,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,26,90.32,39.29,15.84,90.32,39.17,15.84
layer2.2.conv1,27,90.32,39.29,15.84,90.39,39.46,15.74
layer2.2.conv1,28,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,29,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv1,30,90.32,39.29,15.84,73.0,53.88,27.56
layer2.2.conv2,0,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv2,1,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv2,2,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv2,3,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv2,4,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv2,5,90.32,39.29,15.84,90.32,39.31,15.84
layer2.2.conv2,6,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv2,7,90.32,39.29,15.84,90.32,39.29,15.84
layer2.2.conv2,8,90.32,39.29,15.84,90.32,39.29,15.84
